Ball,Score,Outcome,Innings
76.1,9--181,D King to L Greber : No Run,1st Innings - Port Adelaide
75.6,9--181,R King to A Whicker : No Run,1st Innings - Port Adelaide
75.5,9--181,R King to L Greber : 1 run,1st Innings - Port Adelaide
75.4,9--180,R King to L Greber : 2 runs,1st Innings - Port Adelaide
75.3,9--178,R King to L Greber : No Run,1st Innings - Port Adelaide
75.2,9--178,R King to L Greber : No Run,1st Innings - Port Adelaide
75.1,9--178,R King to L Greber : No Run,1st Innings - Port Adelaide
74.6,9--178,M Cranmer to L Greber : 1 run,1st Innings - Port Adelaide
74.5,9--177,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
74.4,9--177,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
74.3,9--177,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
74.2,9--177,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
74.1,9--177,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
73.6,9--177,R King to A Whicker : No Run,1st Innings - Port Adelaide
73.5,9--177,R King to A Whicker : No Run,1st Innings - Port Adelaide
73.4,9--177,R King to A Whicker : No Run,1st Innings - Port Adelaide
73.3,9--177,R King to L Greber : 1 run,1st Innings - Port Adelaide
73.2,9--176,R King to L Greber : No Run,1st Innings - Port Adelaide
73.1,9--176,R King to L Greber : No Run,1st Innings - Port Adelaide
72.6,9--176,M Cranmer to A Whicker : No Run,1st Innings - Port Adelaide
72.5,9--176,M Cranmer to L Greber : 3 runs,1st Innings - Port Adelaide
72.4,9--173,M Cranmer to L Greber : 2 runs,1st Innings - Port Adelaide
72.3,9--171,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
72.2,9--171,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
72.1,9--171,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
71.6,9--171,R King to A Whicker : No Run,1st Innings - Port Adelaide
71.5,9--171,R King to A Whicker : No Run,1st Innings - Port Adelaide
71.4,9--171,R King to A Whicker : No Run,1st Innings - Port Adelaide
71.3,9--171,R King to A Whicker : No Run,1st Innings - Port Adelaide
71.2,9--171,R King to A Whicker : No Run,1st Innings - Port Adelaide
71.1,9--171,R King to L Greber : 1 run,1st Innings - Port Adelaide
70.6,9--170,M Cranmer to A Whicker : No Run,1st Innings - Port Adelaide
70.5,9--170,M Cranmer to A Whicker : No Run,1st Innings - Port Adelaide
70.4,9--170,M Cranmer to A Whicker : No Run,1st Innings - Port Adelaide
70.3,9--170,M Cranmer to A Whicker : No Run,1st Innings - Port Adelaide
70.2,9--170,M Cranmer to A Whicker : No Run,1st Innings - Port Adelaide
