Ball,Score,Outcome,Innings
42.2,10--169,J Kann to J Reuther : J Reuther dismissed,1st Innings - West Torrens
42.1,9--169,J Kann to J Reuther : No Run,1st Innings - West Torrens
41.6,9--169,C Valente to D Murphy : No Run,1st Innings - West Torrens
41.5,9--169,C Valente to D Murphy : No Run,1st Innings - West Torrens
41.4,9--169,C Valente to S Keogh : S Keogh dismissed,1st Innings - West Torrens
41.3,8--169,C Valente to S Keogh : 2 runs,1st Innings - West Torrens
41.2,8--167,C Valente to J Reuther : 1 run,1st Innings - West Torrens
41.1,8--166,C Valente to J Reuther : No Run,1st Innings - West Torrens
40.6,8--166,T Andrews to J Reuther : 1 run,1st Innings - West Torrens
40.5,8--165,T Andrews to S Keogh : 1 run,1st Innings - West Torrens
40.4,8--164,T Andrews to J Reuther : 1 run,1st Innings - West Torrens
40.3,8--163,T Andrews to J Reuther : No Run,1st Innings - West Torrens
40.2,8--163,T Andrews to S Keogh : 1 run,1st Innings - West Torrens
40.1,8--162,T Andrews to S Keogh : No Run,1st Innings - West Torrens
39.6,8--162,C Valente to J Reuther : No Run,1st Innings - West Torrens
39.5,8--162,C Valente to S Keogh : 1 run,1st Innings - West Torrens
39.4,8--161,C Valente to S Keogh : No Run,1st Innings - West Torrens
39.3,8--161,C Valente to S Keogh : No Run,1st Innings - West Torrens
39.2,8--161,C Valente to S Keogh : No Run,1st Innings - West Torrens
39.1,8--161,C Valente to S Keogh : No Run,1st Innings - West Torrens
38.6,8--161,T Andrews to J Reuther : No Run,1st Innings - West Torrens
38.5,8--161,T Andrews to J Reuther : No Run,1st Innings - West Torrens
38.4,8--161,T Andrews to J Reuther : No Run,1st Innings - West Torrens
38.3,8--161,T Andrews to J Reuther : No Run,1st Innings - West Torrens
38.2,8--161,T Andrews to S Keogh : 1 run,1st Innings - West Torrens
38.1,8--160,T Andrews to S Keogh : No Run,1st Innings - West Torrens
37.6,8--160,B Turley to J Reuther : No Run,1st Innings - West Torrens
37.5,8--160,B Turley to J Reuther : No Run,1st Innings - West Torrens
37.4,8--160,B Turley to J Reuther : 6 runs,1st Innings - West Torrens
37.3,8--154,B Turley to J Reuther : No Run,1st Innings - West Torrens
37.2,8--154,B Turley to S Keogh : 1 run,1st Innings - West Torrens
37.1,8--153,B Turley to S Keogh : No Run,1st Innings - West Torrens
36.6,8--153,T Andrews to J Reuther : No Run,1st Innings - West Torrens
36.5,8--153,T Andrews to J Reuther : No Run,1st Innings - West Torrens
36.4,8--153,T Andrews to J Reuther : No Run,1st Innings - West Torrens
36.3,8--153,T Andrews to J Reuther : No Run,1st Innings - West Torrens
36.2,8--153,T Andrews to J Reuther : No Run,1st Innings - West Torrens
36.1,8--153,T Andrews to S Keogh : 1 run,1st Innings - West Torrens
35.6,8--152,B Turley to J Reuther : No Run,1st Innings - West Torrens
35.5,8--152,B Turley to J Buckingham : J Buckingham dismissed,1st Innings - West Torrens
